assemblage	easting	northing
assemblage-588-208	588	208
assemblage-564-211	564	211
assemblage-557-205	557	205
assemblage-583-218	583	218
assemblage-587-220	587	220
assemblage-577-222	577	222
assemblage-573-190	573	190
assemblage-558-222	558	222
assemblage-571-219	571	219
assemblage-580-206	580	206
assemblage-188-432	188	432
assemblage-187-439	187	439
assemblage-175-429	175	429
assemblage-194-440	194	440
assemblage-196-427	196	427
assemblage-201-434	201	434
assemblage-204-434	204	434
assemblage-208-427	208	427
assemblage-184-417	184	417
assemblage-193-414	193	414
assemblage-922-407	922	407
assemblage-920-411	920	411
assemblage-923-417	923	417
assemblage-939-411	939	411
assemblage-923-416	923	416
assemblage-909-424	909	424
assemblage-937-400	937	400
assemblage-924-398	924	398
assemblage-914-408	914	408
assemblage-933-414	933	414
assemblage-816-445	816	445
assemblage-831-438	831	438
assemblage-833-457	833	457
assemblage-818-429	818	429
assemblage-824-431	824	431
assemblage-836-457	836	457
assemblage-836-438	836	438
assemblage-813-456	813	456
assemblage-828-443	828	443
assemblage-821-441	821	441
assemblage-921-342	921	342
assemblage-895-326	895	326
assemblage-899-360	899	360
assemblage-898-354	898	354
assemblage-918-340	918	340
assemblage-886-342	886	342
assemblage-905-336	905	336
assemblage-895-351	895	351
assemblage-906-351	906	351
assemblage-905-347	905	347
assemblage-405-865	405	865
assemblage-383-837	383	837
assemblage-413-848	413	848
assemblage-389-839	389	839
assemblage-410-845	410	845
assemblage-405-845	405	845
assemblage-379-839	379	839
assemblage-403-848	403	848
assemblage-412-836	412	836
assemblage-390-859	390	859
assemblage-468-467	468	467
assemblage-485-487	485	487
assemblage-478-480	478	480
assemblage-488-471	488	471
assemblage-492-478	492	478
assemblage-471-495	471	495
assemblage-479-472	479	472
assemblage-471-476	471	476
assemblage-477-468	477	468
assemblage-480-482	480	482
assemblage-613-1005	613	1005
assemblage-601-991	601	991
assemblage-611-1005	611	1005
assemblage-613-992	613	992
assemblage-604-998	604	998
assemblage-608-995	608	995
assemblage-609-985	609	985
assemblage-597-1014	597	1014
assemblage-607-983	607	983
assemblage-597-1020	597	1020
assemblage-504-728	504	728
assemblage-505-740	505	740
assemblage-491-723	491	723
assemblage-489-720	489	720
assemblage-495-723	495	723
assemblage-495-716	495	716
assemblage-489-729	489	729
assemblage-507-756	507	756
assemblage-497-730	497	730
assemblage-473-742	473	742
assemblage-199-629	199	629
assemblage-171-648	171	648
assemblage-190-629	190	629
assemblage-203-656	203	656
assemblage-169-620	169	620
assemblage-176-624	176	624
assemblage-167-625	167	625
assemblage-185-639	185	639
assemblage-164-634	164	634
assemblage-181-634	181	634
assemblage-258-359	258	359
assemblage-252-357	252	357
assemblage-261-349	261	349
assemblage-245-346	245	346
assemblage-255-344	255	344
assemblage-247-370	247	370
assemblage-270-341	270	341
assemblage-234-359	234	359
assemblage-251-360	251	360
assemblage-245-354	245	354
assemblage-697-966	697	966
assemblage-690-954	690	954
assemblage-670-974	670	974
assemblage-689-962	689	962
assemblage-696-970	696	970
assemblage-706-975	706	975
assemblage-686-956	686	956
